Group,expgroup,nextDayCFU,Otu001,Otu003,Otu016,Otu004,Otu014,Otu005,Otu009,Otu007,Otu006,Otu002,Otu033,Otu008,Otu043,Otu015,Otu035,Otu013,Otu020,Otu018,Otu025,Otu034,Otu024,Otu021,Otu039,Otu022,Otu059,Otu027,Otu030,Other
052-2-D-1,1untr,0,0.605308,0.100692,0.034231,0.021308,0.027462,0.005923,0.021308,0.055154,0.011462,0.037923,0.007154,0.006538,0.001,0.010231,0.001,0.002231,0.004692,0.029308,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.036075
052-3-D-1,1untr,0,0.622538,0.130231,0.028692,0.022538,0.031154,0.005923,0.010846,0.043462,0.023769,0.020692,0.002846,0.008385,0.001,0.007769,0.001,0.001,0.005308,0.025615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.025617
097-2-D-1,1untr,0,0.625,0.101308,0.034231,0.039769,0.001,0.029923,0.013923,0.036692,0.011462,0.015154,0.001615,0.001615,0.002231,0.002846,0.001615,0.002846,0.001,0.085923,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010232
097-3-D-1,1untr,0,0.637923,0.091462,0.074846,0.037923,0.001615,0.039154,0.017,0.046538,0.005308,0.021923,0.001,0.007154,0.001,0.002846,0.001615,0.001615,0.001615,0.011462,0.004692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013309
098-1-D-1,1untr,0,0.475462,0.091462,0.049,0.039769,0.028077,0.073615,0.035462,0.025,0.037923,0.054538,0.004692,0.005923,0.003462,0.006538,0.001615,0.002231,0.001615,0.057,0.006538,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.019463
098-2-D-1,1untr,0,0.419462,0.114231,0.044692,0.082846,0.042846,0.056385,0.026231,0.011462,0.023154,0.024385,0.005923,0.007154,0.007769,0.013308,0.001,0.003462,0.001,0.077308,0.004077,0.002231,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.051459
098-3-D-1,1untr,0,0.470538,0.178846,0.045308,0.080385,0.041,0.020692,0.012077,0.019462,0.019462,0.029308,0.005308,0.004692,0.001615,0.007154,0.001,0.001,0.001615,0.055154,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.023769
021-1D0,7amp.5,70000,0.698231,0.059462,0.028077,0.015154,0.001615,0.007769,0.029308,0.034846,0.008385,0.013308,0.012077,0.005923,0.001615,0.008385,0.001,0.036077,0.003462,0.001615,0.001,0.008385,0.002846,0.001615,0.001,0.005308,0.001,0.001,0.001,0.038537
021-4D0,7amp.5,2700,0.778231,0.063154,0.012692,0.020077,0.001,0.012692,0.015769,0.046538,0.007769,0.009,0.001615,0.007154,0.001,0.002846,0.001615,0.005923,0.001,0.001615,0.004077,0.002846,0.001,0.002231,0.001,0.003462,0.001,0.002231,0.001615,0.018848
024-1D0,6cef.5,34000000,0.113615,0.198538,0.012692,0.068692,0.003462,0.041615,0.001615,0.022538,0.060692,0.041615,0.002231,0.023154,0.009,0.002846,0.003462,0.226231,0.005923,0.006538,0.001,0.019462,0.015154,0.012077,0.002231,0.021923,0.005923,0.001615,0.005308,0.098848
024-3D0,6cef.5,78000000,0.124692,0.090846,0.023154,0.044077,0.002846,0.043462,0.001615,0.015769,0.059462,0.066846,0.001615,0.046538,0.011462,0.007769,0.001,0.241,0.007154,0.007769,0.004692,0.022538,0.005923,0.003462,0.001,0.027462,0.007154,0.005923,0.012077,0.140693
050-1-D0,7amp.5,75000000,0.100692,0.090231,0.015769,0.003462,0.004692,0.023769,0.001,0.002846,0.015154,0.023154,0.001,0.001615,0.001,0.004077,0.014538,0.383769,0.001,0.001,0.001,0.074846,0.041615,0.029308,0.025615,0.015154,0.007769,0.009,0.011462,0.123463
050-2-D0,7amp.5,80000000,0.112385,0.124692,0.001,0.007154,0.008385,0.005923,0.001,0.001,0.001,0.044692,0.001,0.002231,0.001,0.001,0.043462,0.303154,0.001,0.001,0.001,0.062538,0.039769,0.020692,0.003462,0.041,0.026846,0.009615,0.001615,0.160385
050-3-D0,7amp.5,35000000,0.032385,0.067462,0.001,0.030538,0.004692,0.009,0.001,0.001,0.002846,0.001615,0.001,0.001,0.001,0.002231,0.001,0.390538,0.001,0.002231,0.001,0.066846,0.076692,0.073615,0.007154,0.054538,0.021923,0.021923,0.017,0.135771
050-4-D0,7amp.5,120000,0.043462,0.110538,0.020692,0.009615,0.006538,0.040385,0.001,0.001,0.004077,0.018846,0.001,0.001615,0.001,0.001,0.004692,0.490231,0.001,0.001,0.001,0.085308,0.034231,0.009615,0.001,0.036077,0.030538,0.008385,0.001,0.063155
600-3D0,6cef.5,2.29E+08,0.098846,0.058846,0.001,0.031154,0.015769,0.012692,0.001,0.056385,0.024385,0.050231,0.001,0.001615,0.001,0.001,0.001,0.183154,0.001,0.001,0.001,0.074231,0.093308,0.084692,0.028077,0.040385,0.001,0.025615,0.032385,0.10623
600-4D0,6cef.5,1.17E+08,0.064385,0.009,0.001,0.498846,0.001615,0.002846,0.001,0.001,0.006538,0.013923,0.001,0.001,0.001,0.001,0.004077,0.138231,0.001,0.001,0.001,0.053308,0.049615,0.042231,0.003462,0.011462,0.004692,0.022538,0.018846,0.072385
039-3D0,4vanc.625,36500000,0.002231,0.001,0.001,0.029923,0.001,0.388077,0.001,0.001,0.001,0.001,0.001,0.005308,0.001,0.001,0.001,0.578231,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001
040-1D0,8metro1,116000000,0.001,0.002846,0.001,0.099462,0.001,0.001,0.001,0.001615,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.869923,0.001,0.027462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003462
040-2D0,8metro1,121000000,0.003462,0.002846,0.001,0.254538,0.001,0.001615,0.001,0.001615,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.710538,0.001,0.029923,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002232
040-3D0,8metro1,134000000,0.004077,0.006538,0.002846,0.180692,0.001,0.003462,0.001,0.001,0.001615,0.002846,0.001,0.001,0.002231,0.001,0.001,0.761,0.001,0.035462,0.001,0.001,0.001,0.001,0.001,0.001615,0.001615,0.001615,0.001,0.008386
040-4D0,8metro1,93000000,0.002231,0.007154,0.001615,0.166538,0.001,0.001,0.001,0.001,0.001615,0.001615,0.001,0.002231,0.001,0.001615,0.001,0.702538,0.001,0.053923,0.001,0.002231,0.007154,0.002846,0.001,0.002846,0.001,0.002231,0.003462,0.055155
