sample	CFU	group	mouse	day	abx	dose	time	Cdiff	preABX	recovDays
117-5-D1	1700000	117	5	1	amp	0.5	delayed	630dE	other	no
117-5-D10	700000	117	5	10	amp	0.5	delayed	630dE	other	no
117-5-D2	5900000	117	5	2	amp	0.5	delayed	630dE	other	no
117-5-D3	3100000	117	5	3	amp	0.5	delayed	630dE	other	no
117-5-D4	1270000	117	5	4	amp	0.5	delayed	630dE	other	no
117-5-D5	1320000	117	5	5	amp	0.5	delayed	630dE	other	no
117-5-D6	490000	117	5	6	amp	0.5	delayed	630dE	other	no
117-5-D7	690000	117	5	7	amp	0.5	delayed	630dE	other	no
117-5-D8	870000	117	5	8	amp	0.5	delayed	630dE	other	no
117-5-D9	560000	117	5	9	amp	0.5	delayed	630dE	other	no
043-1D-1	NA	43	1	-1	cef	0.1	on-time	630dE	other	no
043-1D-6	0	43	1	-6	cef	0.1	on-time	630dE	preAbx	no
043-1D0	NA	43	1	0	cef	0.1	on-time	630dE	other	no
043-1D1	0	43	1	1	cef	0.1	on-time	630dE	other	no
043-1D10	0	43	1	10	cef	0.1	on-time	630dE	other	no
043-1D2	0	43	1	2	cef	0.1	on-time	630dE	other	no
043-1D3	0	43	1	3	cef	0.1	on-time	630dE	other	no
043-1D4	0	43	1	4	cef	0.1	on-time	630dE	other	no
043-1D5	0	43	1	5	cef	0.1	on-time	630dE	other	no
043-1D6	0	43	1	6	cef	0.1	on-time	630dE	other	no
043-1D7	0	43	1	7	cef	0.1	on-time	630dE	other	no
043-1D8	0	43	1	8	cef	0.1	on-time	630dE	other	no
043-1D9	0	43	1	9	cef	0.1	on-time	630dE	other	no
043-2D-1	NA	43	2	-1	cef	0.1	on-time	630dE	other	no
043-2D-6	0	43	2	-6	cef	0.1	on-time	630dE	preAbx	no
043-2D0	NA	43	2	0	cef	0.1	on-time	630dE	other	no
043-2D1	0	43	2	1	cef	0.1	on-time	630dE	other	no
043-2D10	0	43	2	10	cef	0.1	on-time	630dE	other	no
043-2D2	0	43	2	2	cef	0.1	on-time	630dE	other	no
043-2D3	0	43	2	3	cef	0.1	on-time	630dE	other	no
043-2D4	0	43	2	4	cef	0.1	on-time	630dE	other	no
043-2D5	0	43	2	5	cef	0.1	on-time	630dE	other	no
043-2D6	0	43	2	6	cef	0.1	on-time	630dE	other	no
043-2D7	0	43	2	7	cef	0.1	on-time	630dE	other	no
043-2D8	0	43	2	8	cef	0.1	on-time	630dE	other	no
043-2D9	0	43	2	9	cef	0.1	on-time	630dE	other	no
043-3D-1	NA	43	3	-1	cef	0.1	on-time	630dE	other	no
043-3D-6	0	43	3	-6	cef	0.1	on-time	630dE	preAbx	no
043-3D0	NA	43	3	0	cef	0.1	on-time	630dE	other	no
043-3D1	300	43	3	1	cef	0.1	on-time	630dE	other	no
043-3D10	0	43	3	10	cef	0.1	on-time	630dE	other	no
043-3D2	0	43	3	2	cef	0.1	on-time	630dE	other	no
043-3D3	0	43	3	3	cef	0.1	on-time	630dE	other	no
043-3D4	0	43	3	4	cef	0.1	on-time	630dE	other	no
043-3D5	0	43	3	5	cef	0.1	on-time	630dE	other	no
043-3D6	0	43	3	6	cef	0.1	on-time	630dE	other	no
043-3D7	0	43	3	7	cef	0.1	on-time	630dE	other	no
043-3D8	0	43	3	8	cef	0.1	on-time	630dE	other	no
043-3D9	0	43	3	9	cef	0.1	on-time	630dE	other	no
090-1-D-6	0	90	1	-6	cef	0.1	on-time	630dE	preAbx	no
090-1-D0	NA	90	1	0	cef	0.1	on-time	630dE	other	no
090-1-D1	0	90	1	1	cef	0.1	on-time	630dE	other	no
090-1-D10	0	90	1	10	cef	0.1	on-time	630dE	other	no
090-1-D2	0	90	1	2	cef	0.1	on-time	630dE	other	no
090-1-D3	400	90	1	3	cef	0.1	on-time	630dE	other	no
090-1-D4	0	90	1	4	cef	0.1	on-time	630dE	other	no
090-1-D5	0	90	1	5	cef	0.1	on-time	630dE	other	no
090-1-D6	0	90	1	6	cef	0.1	on-time	630dE	other	no
090-1-D7	0	90	1	7	cef	0.1	on-time	630dE	other	no
090-1-D8	0	90	1	8	cef	0.1	on-time	630dE	other	no
090-1-D9	0	90	1	9	cef	0.1	on-time	630dE	other	no
090-2-D-6	0	90	2	-6	cef	0.1	on-time	630dE	preAbx	no
090-2-D0	NA	90	2	0	cef	0.1	on-time	630dE	other	no
090-2-D1	0	90	2	1	cef	0.1	on-time	630dE	other	no
090-2-D10	0	90	2	10	cef	0.1	on-time	630dE	other	no
090-2-D2	0	90	2	2	cef	0.1	on-time	630dE	other	no
090-2-D3	0	90	2	3	cef	0.1	on-time	630dE	other	no
090-2-D4	0	90	2	4	cef	0.1	on-time	630dE	other	no
090-2-D5	0	90	2	5	cef	0.1	on-time	630dE	other	no
090-2-D6	0	90	2	6	cef	0.1	on-time	630dE	other	no
090-2-D7	0	90	2	7	cef	0.1	on-time	630dE	other	no
090-2-D8	0	90	2	8	cef	0.1	on-time	630dE	other	no
090-2-D9	0	90	2	9	cef	0.1	on-time	630dE	other	no
090-3-D-6	0	90	3	-6	cef	0.1	on-time	630dE	preAbx	no
090-3-D0	NA	90	3	0	cef	0.1	on-time	630dE	other	no
090-3-D1	0	90	3	1	cef	0.1	on-time	630dE	other	no
090-3-D10	0	90	3	10	cef	0.1	on-time	630dE	other	no
090-3-D2	0	90	3	2	cef	0.1	on-time	630dE	other	no
090-3-D3	0	90	3	3	cef	0.1	on-time	630dE	other	no
090-3-D4	0	90	3	4	cef	0.1	on-time	630dE	other	no
090-3-D5	0	90	3	5	cef	0.1	on-time	630dE	other	no
090-3-D6	0	90	3	6	cef	0.1	on-time	630dE	other	no
090-3-D7	0	90	3	7	cef	0.1	on-time	630dE	other	no
090-3-D8	0	90	3	8	cef	0.1	on-time	630dE	other	no
090-3-D9	0	90	3	9	cef	0.1	on-time	630dE	other	no
042-1D-6	0	42	1	-6	cef	0.3	on-time	630dE	preAbx	no
042-1D0	NA	42	1	0	cef	0.3	on-time	630dE	other	no
042-1D1	76800000	42	1	1	cef	0.3	on-time	630dE	other	no
042-1D10	0	42	1	10	cef	0.3	on-time	630dE	other	no
042-1D2	14700000	42	1	2	cef	0.3	on-time	630dE	other	no
042-1D3	80000000	42	1	3	cef	0.3	on-time	630dE	other	no
042-1D4	29000000	42	1	4	cef	0.3	on-time	630dE	other	no
042-1D5	1640000	42	1	5	cef	0.3	on-time	630dE	other	no
042-1D6	7000	42	1	6	cef	0.3	on-time	630dE	other	no
042-1D7	5000	42	1	7	cef	0.3	on-time	630dE	other	no
042-1D8	0	42	1	8	cef	0.3	on-time	630dE	other	no
042-1D9	100	42	1	9	cef	0.3	on-time	630dE	other	no
042-2D-1	NA	42	2	-1	cef	0.3	on-time	630dE	other	no
042-2D-6	0	42	2	-6	cef	0.3	on-time	630dE	preAbx	no
042-2D0	NA	42	2	0	cef	0.3	on-time	630dE	other	no
042-2D1	1110000	42	2	1	cef	0.3	on-time	630dE	other	no
042-2D10	0	42	2	10	cef	0.3	on-time	630dE	other	no
042-2D2	3200000	42	2	2	cef	0.3	on-time	630dE	other	no
042-2D3	58000000	42	2	3	cef	0.3	on-time	630dE	other	no
042-2D4	500000	42	2	4	cef	0.3	on-time	630dE	other	no
042-2D5	6000	42	2	5	cef	0.3	on-time	630dE	other	no
042-2D6	600	42	2	6	cef	0.3	on-time	630dE	other	no
042-2D7	0	42	2	7	cef	0.3	on-time	630dE	other	no
042-2D8	0	42	2	8	cef	0.3	on-time	630dE	other	no
042-2D9	0	42	2	9	cef	0.3	on-time	630dE	other	no
042-3D-1	NA	42	3	-1	cef	0.3	on-time	630dE	other	no
042-3D-6	0	42	3	-6	cef	0.3	on-time	630dE	preAbx	no
042-3D0	NA	42	3	0	cef	0.3	on-time	630dE	other	no
042-3D1	38600000	42	3	1	cef	0.3	on-time	630dE	other	no
042-3D10	0	42	3	10	cef	0.3	on-time	630dE	other	no
042-3D2	145000000	42	3	2	cef	0.3	on-time	630dE	other	no
042-3D3	90000000	42	3	3	cef	0.3	on-time	630dE	other	no
042-3D4	NA	42	3	4	cef	0.3	on-time	630dE	other	no
042-3D5	1000	42	3	5	cef	0.3	on-time	630dE	other	no
042-3D6	200	42	3	6	cef	0.3	on-time	630dE	other	no
042-3D7	0	42	3	7	cef	0.3	on-time	630dE	other	no
042-3D8	0	42	3	8	cef	0.3	on-time	630dE	other	no
042-3D9	0	42	3	9	cef	0.3	on-time	630dE	other	no
042-4D-1	NA	42	4	-1	cef	0.3	on-time	630dE	other	no
042-4D-6	0	42	4	-6	cef	0.3	on-time	630dE	preAbx	no
042-4D0	NA	42	4	0	cef	0.3	on-time	630dE	other	no
042-4D1	65600000	42	4	1	cef	0.3	on-time	630dE	other	no
042-4D10	0	42	4	10	cef	0.3	on-time	630dE	other	no
042-4D2	250000000	42	4	2	cef	0.3	on-time	630dE	other	no
042-4D3	8800000	42	4	3	cef	0.3	on-time	630dE	other	no
042-4D4	200000	42	4	4	cef	0.3	on-time	630dE	other	no
042-4D5	20000	42	4	5	cef	0.3	on-time	630dE	other	no
042-4D6	400	42	4	6	cef	0.3	on-time	630dE	other	no
042-4D7	0	42	4	7	cef	0.3	on-time	630dE	other	no
042-4D8	0	42	4	8	cef	0.3	on-time	630dE	other	no
042-4D9	0	42	4	9	cef	0.3	on-time	630dE	other	no
091-1-D-6	0	91	1	-6	cef	0.3	on-time	630dE	preAbx	no
091-1-D0	NA	91	1	0	cef	0.3	on-time	630dE	other	no
091-1-D1	0	91	1	1	cef	0.3	on-time	630dE	other	no
091-1-D10	0	91	1	10	cef	0.3	on-time	630dE	other	no
091-1-D2	0	91	1	2	cef	0.3	on-time	630dE	other	no
091-1-D3	0	91	1	3	cef	0.3	on-time	630dE	other	no
091-1-D4	0	91	1	4	cef	0.3	on-time	630dE	other	no
091-1-D5	0	91	1	5	cef	0.3	on-time	630dE	other	no
091-1-D6	0	91	1	6	cef	0.3	on-time	630dE	other	no
091-1-D7	0	91	1	7	cef	0.3	on-time	630dE	other	no
091-1-D8	0	91	1	8	cef	0.3	on-time	630dE	other	no
091-1-D9	0	91	1	9	cef	0.3	on-time	630dE	other	no
091-2-D-6	0	91	2	-6	cef	0.3	on-time	630dE	preAbx	no
091-2-D0	NA	91	2	0	cef	0.3	on-time	630dE	other	no
091-2-D1	0	91	2	1	cef	0.3	on-time	630dE	other	no
091-2-D10	0	91	2	10	cef	0.3	on-time	630dE	other	no
091-2-D2	10000	91	2	2	cef	0.3	on-time	630dE	other	no
091-2-D3	0	91	2	3	cef	0.3	on-time	630dE	other	no
091-2-D4	0	91	2	4	cef	0.3	on-time	630dE	other	no
091-2-D5	0	91	2	5	cef	0.3	on-time	630dE	other	no
091-2-D6	0	91	2	6	cef	0.3	on-time	630dE	other	no
091-2-D7	0	91	2	7	cef	0.3	on-time	630dE	other	no
091-2-D8	0	91	2	8	cef	0.3	on-time	630dE	other	no
091-2-D9	0	91	2	9	cef	0.3	on-time	630dE	other	no
091-3-D-6	0	91	3	-6	cef	0.3	on-time	630dE	preAbx	no
091-3-D0	NA	91	3	0	cef	0.3	on-time	630dE	other	no
091-3-D1	0	91	3	1	cef	0.3	on-time	630dE	other	no
091-3-D10	0	91	3	10	cef	0.3	on-time	630dE	other	no
091-3-D2	0	91	3	2	cef	0.3	on-time	630dE	other	no
091-3-D3	0	91	3	3	cef	0.3	on-time	630dE	other	no
091-3-D4	0	91	3	4	cef	0.3	on-time	630dE	other	no
091-3-D5	0	91	3	5	cef	0.3	on-time	630dE	other	no
091-3-D6	0	91	3	6	cef	0.3	on-time	630dE	other	no
091-3-D7	0	91	3	7	cef	0.3	on-time	630dE	other	no
091-3-D8	0	91	3	8	cef	0.3	on-time	630dE	other	no
091-3-D9	0	91	3	9	cef	0.3	on-time	630dE	other	no
091-4-D-6	0	91	4	-6	cef	0.3	on-time	630dE	preAbx	no
091-4-D0	NA	91	4	0	cef	0.3	on-time	630dE	other	no
091-4-D1	0	91	4	1	cef	0.3	on-time	630dE	other	no
091-4-D10	0	91	4	10	cef	0.3	on-time	630dE	other	no
091-4-D2	0	91	4	2	cef	0.3	on-time	630dE	other	no
091-4-D3	0	91	4	3	cef	0.3	on-time	630dE	other	no
091-4-D4	0	91	4	4	cef	0.3	on-time	630dE	other	no
091-4-D5	0	91	4	5	cef	0.3	on-time	630dE	other	no
091-4-D6	0	91	4	6	cef	0.3	on-time	630dE	other	no
091-4-D7	0	91	4	7	cef	0.3	on-time	630dE	other	no
091-4-D8	0	91	4	8	cef	0.3	on-time	630dE	other	no
091-4-D9	0	91	4	9	cef	0.3	on-time	630dE	other	no
091-5-D-6	0	91	5	-6	cef	0.3	on-time	630dE	preAbx	no
091-5-D0	NA	91	5	0	cef	0.3	on-time	630dE	other	no
091-5-D1	0	91	5	1	cef	0.3	on-time	630dE	other	no
091-5-D10	0	91	5	10	cef	0.3	on-time	630dE	other	no
091-5-D2	0	91	5	2	cef	0.3	on-time	630dE	other	no
091-5-D3	0	91	5	3	cef	0.3	on-time	630dE	other	no
091-5-D4	0	91	5	4	cef	0.3	on-time	630dE	other	no
091-5-D5	0	91	5	5	cef	0.3	on-time	630dE	other	no
091-5-D6	0	91	5	6	cef	0.3	on-time	630dE	other	no
091-5-D7	0	91	5	7	cef	0.3	on-time	630dE	other	no
091-5-D8	0	91	5	8	cef	0.3	on-time	630dE	other	no
091-5-D9	0	91	5	9	cef	0.3	on-time	630dE	other	no
104-1-D-1	NA	104	1	-1	cef	0.3	on-time	630dE	other	no
104-1-D-6	0	104	1	-6	cef	0.3	on-time	630dE	preAbx	no
104-1-D0	NA	104	1	0	cef	0.3	on-time	630dE	other	no
104-1-D1	3500000	104	1	1	cef	0.3	on-time	630dE	other	no
104-1-D10	2030000	104	1	10	cef	0.3	on-time	630dE	other	no
104-1-D2	84000000	104	1	2	cef	0.3	on-time	630dE	other	no
104-1-D3	76000000	104	1	3	cef	0.3	on-time	630dE	other	no
104-1-D4	104000000	104	1	4	cef	0.3	on-time	630dE	other	no
104-1-D5	19000000	104	1	5	cef	0.3	on-time	630dE	other	no
104-1-D6	1500000	104	1	6	cef	0.3	on-time	630dE	other	no
104-1-D7	7500000	104	1	7	cef	0.3	on-time	630dE	other	no
104-1-D8	10600000	104	1	8	cef	0.3	on-time	630dE	other	no
104-1-D9	100000	104	1	9	cef	0.3	on-time	630dE	other	no
104-2-D-1	NA	104	2	-1	cef	0.3	on-time	630dE	other	no
104-2-D-6	0	104	2	-6	cef	0.3	on-time	630dE	preAbx	no
104-2-D0	NA	104	2	0	cef	0.3	on-time	630dE	other	no
104-2-D1	19100000	104	2	1	cef	0.3	on-time	630dE	other	no
104-2-D10	12300000	104	2	10	cef	0.3	on-time	630dE	other	no
104-2-D2	56000000	104	2	2	cef	0.3	on-time	630dE	other	no
104-2-D3	101000000	104	2	3	cef	0.3	on-time	630dE	other	no
104-2-D4	45000000	104	2	4	cef	0.3	on-time	630dE	other	no
104-2-D5	22000000	104	2	5	cef	0.3	on-time	630dE	other	no
104-2-D6	9400000	104	2	6	cef	0.3	on-time	630dE	other	no
104-2-D7	15600000	104	2	7	cef	0.3	on-time	630dE	other	no
104-2-D8	15500000	104	2	8	cef	0.3	on-time	630dE	other	no
104-2-D9	11000000	104	2	9	cef	0.3	on-time	630dE	other	no
105-1-D-1	NA	105	1	-1	cef	0.3	on-time	630dE	other	no
105-1-D-6	0	105	1	-6	cef	0.3	on-time	630dE	preAbx	no
105-1-D0	NA	105	1	0	cef	0.3	on-time	630dE	other	no
105-1-D1	13200000	105	1	1	cef	0.3	on-time	630dE	other	no
105-1-D10	540000	105	1	10	cef	0.3	on-time	630dE	other	no
105-1-D2	52000000	105	1	2	cef	0.3	on-time	630dE	other	no
105-1-D3	154000000	105	1	3	cef	0.3	on-time	630dE	other	no
105-1-D4	8600000	105	1	4	cef	0.3	on-time	630dE	other	no
105-1-D5	11700000	105	1	5	cef	0.3	on-time	630dE	other	no
105-1-D6	4600000	105	1	6	cef	0.3	on-time	630dE	other	no
105-1-D8	8900000	105	1	8	cef	0.3	on-time	630dE	other	no
105-1-D9	1400000	105	1	9	cef	0.3	on-time	630dE	other	no
105-2-D-6	0	105	2	-6	cef	0.3	on-time	630dE	preAbx	no
105-2-D0	NA	105	2	0	cef	0.3	on-time	630dE	other	no
105-2-D1	20000000	105	2	1	cef	0.3	on-time	630dE	other	no
105-2-D10	850000	105	2	10	cef	0.3	on-time	630dE	other	no
105-2-D2	48000000	105	2	2	cef	0.3	on-time	630dE	other	no
105-2-D3	55000000	105	2	3	cef	0.3	on-time	630dE	other	no
105-2-D4	38000000	105	2	4	cef	0.3	on-time	630dE	other	no
105-2-D5	132000000	105	2	5	cef	0.3	on-time	630dE	other	no
105-2-D6	1300000	105	2	6	cef	0.3	on-time	630dE	other	no
105-2-D7	1400000	105	2	7	cef	0.3	on-time	630dE	other	no
105-2-D8	5400000	105	2	8	cef	0.3	on-time	630dE	other	no
105-2-D9	2900000	105	2	9	cef	0.3	on-time	630dE	other	no
024-1D-1	NA	24	1	-1	cef	0.5	on-time	630dE	other	no
024-1D-6	0	24	1	-6	cef	0.5	on-time	630dE	preAbx	no
024-1D0	NA	24	1	0	cef	0.5	on-time	630dE	other	no
024-1D1	34000000	24	1	1	cef	0.5	on-time	630dE	other	no
024-1D10	34400000	24	1	10	cef	0.5	on-time	630dE	other	no
024-1D2	67000000	24	1	2	cef	0.5	on-time	630dE	other	no
024-1D3	50000000	24	1	3	cef	0.5	on-time	630dE	other	no
024-1D4	80000000	24	1	4	cef	0.5	on-time	630dE	other	no
024-1D5	75000000	24	1	5	cef	0.5	on-time	630dE	other	no
024-1D6	135000000	24	1	6	cef	0.5	on-time	630dE	other	no
024-1D7	104000000	24	1	7	cef	0.5	on-time	630dE	other	no
024-1D8	48000000	24	1	8	cef	0.5	on-time	630dE	other	no
024-1D9	41000000	24	1	9	cef	0.5	on-time	630dE	other	no
024-3D-1	NA	24	3	-1	cef	0.5	on-time	630dE	other	no
024-3D-6	0	24	3	-6	cef	0.5	on-time	630dE	preAbx	no
024-3D0	NA	24	3	0	cef	0.5	on-time	630dE	other	no
024-3D1	78000000	24	3	1	cef	0.5	on-time	630dE	other	no
024-3D10	10500000	24	3	10	cef	0.5	on-time	630dE	other	no
024-3D2	123000000	24	3	2	cef	0.5	on-time	630dE	other	no
024-3D3	102000000	24	3	3	cef	0.5	on-time	630dE	other	no
024-3D4	120000000	24	3	4	cef	0.5	on-time	630dE	other	no
024-3D5	77000000	24	3	5	cef	0.5	on-time	630dE	other	no
024-3D6	92000000	24	3	6	cef	0.5	on-time	630dE	other	no
024-3D7	58000000	24	3	7	cef	0.5	on-time	630dE	other	no
024-3D8	640000	24	3	8	cef	0.5	on-time	630dE	other	no
024-3D9	12100000	24	3	9	cef	0.5	on-time	630dE	other	no
600-1D-2	NA	600	1	-2	cef	0.5	on-time	630dE	other	no
600-1D-3	NA	600	1	-3	cef	0.5	on-time	630dE	other	no
600-1D-4	NA	600	1	-4	cef	0.5	on-time	630dE	other	no
600-1D-5	NA	600	1	-5	cef	0.5	on-time	630dE	other	no
600-1D-6	0	600	1	-6	cef	0.5	on-time	630dE	preAbx	no
600-1D1	73000000	600	1	1	cef	0.5	on-time	630dE	other	no
600-1D10	3650000	600	1	10	cef	0.5	on-time	630dE	other	no
600-1D2	78000000	600	1	2	cef	0.5	on-time	630dE	other	no
600-1D3	71500000	600	1	3	cef	0.5	on-time	630dE	other	no
600-1D4	66500000	600	1	4	cef	0.5	on-time	630dE	other	no
600-1D5	32500000	600	1	5	cef	0.5	on-time	630dE	other	no
600-1D6	32900000	600	1	6	cef	0.5	on-time	630dE	other	no
600-1D7	4400000	600	1	7	cef	0.5	on-time	630dE	other	no
600-1D8	3840000	600	1	8	cef	0.5	on-time	630dE	other	no
600-1D9	580000	600	1	9	cef	0.5	on-time	630dE	other	no
600-2D-1	NA	600	2	-1	cef	0.5	on-time	630dE	other	no
600-2D-2	NA	600	2	-2	cef	0.5	on-time	630dE	other	no
600-2D1	81500000	600	2	1	cef	0.5	on-time	630dE	other	no
600-2D10	67000	600	2	10	cef	0.5	on-time	630dE	other	no
600-2D2	109000000	600	2	2	cef	0.5	on-time	630dE	other	no
600-2D3	248000000	600	2	3	cef	0.5	on-time	630dE	other	no
600-2D4	22700000	600	2	4	cef	0.5	on-time	630dE	other	no
600-2D5	21600000	600	2	5	cef	0.5	on-time	630dE	other	no
600-2D6	23500000	600	2	6	cef	0.5	on-time	630dE	other	no
600-2D7	12800000	600	2	7	cef	0.5	on-time	630dE	other	no
600-2D8	2040000	600	2	8	cef	0.5	on-time	630dE	other	no
600-2D9	670000	600	2	9	cef	0.5	on-time	630dE	other	no
600-3D-1	NA	600	3	-1	cef	0.5	on-time	630dE	other	no
600-3D-2	NA	600	3	-2	cef	0.5	on-time	630dE	other	no
600-3D-3	NA	600	3	-3	cef	0.5	on-time	630dE	other	no
600-3D-4	NA	600	3	-4	cef	0.5	on-time	630dE	other	no
600-3D-5	NA	600	3	-5	cef	0.5	on-time	630dE	other	no
600-3D-6	0	600	3	-6	cef	0.5	on-time	630dE	preAbx	no
600-3D0	NA	600	3	0	cef	0.5	on-time	630dE	other	no
600-3D1	229000000	600	3	1	cef	0.5	on-time	630dE	other	no
600-3D10	790000	600	3	10	cef	0.5	on-time	630dE	other	no
600-3D2	86000000	600	3	2	cef	0.5	on-time	630dE	other	no
600-3D3	79000000	600	3	3	cef	0.5	on-time	630dE	other	no
600-3D4	42000000	600	3	4	cef	0.5	on-time	630dE	other	no
600-3D5	6300000	600	3	5	cef	0.5	on-time	630dE	other	no
600-3D6	7100000	600	3	6	cef	0.5	on-time	630dE	other	no
600-3D7	6000000	600	3	7	cef	0.5	on-time	630dE	other	no
600-3D8	760000	600	3	8	cef	0.5	on-time	630dE	other	no
600-3D9	2430000	600	3	9	cef	0.5	on-time	630dE	other	no
600-4D-2	NA	600	4	-2	cef	0.5	on-time	630dE	other	no
600-4D-4	NA	600	4	-4	cef	0.5	on-time	630dE	other	no
600-4D-6	0	600	4	-6	cef	0.5	on-time	630dE	preAbx	no
600-4D0	NA	600	4	0	cef	0.5	on-time	630dE	other	no
600-4D1	117000000	600	4	1	cef	0.5	on-time	630dE	other	no
600-4D10	980000	600	4	10	cef	0.5	on-time	630dE	other	no
600-4D2	79000000	600	4	2	cef	0.5	on-time	630dE	other	no
600-4D3	163000000	600	4	3	cef	0.5	on-time	630dE	other	no
600-4D4	30000000	600	4	4	cef	0.5	on-time	630dE	other	no
600-4D5	8700000	600	4	5	cef	0.5	on-time	630dE	other	no
600-4D6	34200000	600	4	6	cef	0.5	on-time	630dE	other	no
600-4D7	13300000	600	4	7	cef	0.5	on-time	630dE	other	no
600-4D8	1410000	600	4	8	cef	0.5	on-time	630dE	other	no
600-4D9	925000	600	4	9	cef	0.5	on-time	630dE	other	no
603-1D-1	NA	603	1	-1	cef	0.5	on-time	none	other	no
603-1D-2	NA	603	1	-2	cef	0.5	on-time	none	other	no
603-1D-3	NA	603	1	-3	cef	0.5	on-time	none	other	no
603-1D-4	NA	603	1	-4	cef	0.5	on-time	none	other	no
603-1D-5	NA	603	1	-5	cef	0.5	on-time	none	other	no
603-1D-6	0	603	1	-6	cef	0.5	on-time	none	preAbx	no
603-1D0	NA	603	1	0	cef	0.5	on-time	none	other	no
603-1D1	NA	603	1	1	cef	0.5	on-time	none	other	no
603-1D10	NA	603	1	10	cef	0.5	on-time	none	other	no
603-1D2	NA	603	1	2	cef	0.5	on-time	none	other	no
603-1D4	NA	603	1	4	cef	0.5	on-time	none	other	no
603-1D5	NA	603	1	5	cef	0.5	on-time	none	other	no
603-1D8	NA	603	1	8	cef	0.5	on-time	none	other	no
603-1D9	NA	603	1	9	cef	0.5	on-time	none	other	no
603-2D-2	NA	603	2	-2	cef	0.5	on-time	none	other	no
603-2D-3	NA	603	2	-3	cef	0.5	on-time	none	other	no
603-2D-4	NA	603	2	-4	cef	0.5	on-time	none	other	no
603-2D-5	NA	603	2	-5	cef	0.5	on-time	none	other	no
603-2D-6	0	603	2	-6	cef	0.5	on-time	none	preAbx	no
603-2D0	NA	603	2	0	cef	0.5	on-time	none	other	no
603-2D1	NA	603	2	1	cef	0.5	on-time	none	other	no
603-2D10	NA	603	2	10	cef	0.5	on-time	none	other	no
603-2D2	NA	603	2	2	cef	0.5	on-time	none	other	no
603-2D3	NA	603	2	3	cef	0.5	on-time	none	other	no
603-2D4	NA	603	2	4	cef	0.5	on-time	none	other	no
603-2D5	NA	603	2	5	cef	0.5	on-time	none	other	no
603-2D7	NA	603	2	7	cef	0.5	on-time	none	other	no
603-2D8	NA	603	2	8	cef	0.5	on-time	none	other	no
603-2D9	NA	603	2	9	cef	0.5	on-time	none	other	no
603-3D-1	NA	603	3	-1	cef	0.5	on-time	none	other	no
603-3D-2	NA	603	3	-2	cef	0.5	on-time	none	other	no
603-3D-3	NA	603	3	-3	cef	0.5	on-time	none	other	no
603-3D-4	NA	603	3	-4	cef	0.5	on-time	none	other	no
603-3D-5	NA	603	3	-5	cef	0.5	on-time	none	other	no
603-3D-6	0	603	3	-6	cef	0.5	on-time	none	preAbx	no
603-3D0	NA	603	3	0	cef	0.5	on-time	none	other	no
603-3D1	NA	603	3	1	cef	0.5	on-time	none	other	no
603-3D10	NA	603	3	10	cef	0.5	on-time	none	other	no
603-3D2	NA	603	3	2	cef	0.5	on-time	none	other	no
603-3D3	NA	603	3	3	cef	0.5	on-time	none	other	no
603-3D4	NA	603	3	4	cef	0.5	on-time	none	other	no
603-3D5	NA	603	3	5	cef	0.5	on-time	none	other	no
603-3D6	NA	603	3	6	cef	0.5	on-time	none	other	no
603-3D7	NA	603	3	7	cef	0.5	on-time	none	other	no
603-3D8	NA	603	3	8	cef	0.5	on-time	none	other	no
603-3D9	NA	603	3	9	cef	0.5	on-time	none	other	no
015-1D-1	0	15	1	-1	cipro	10mg/kg	on-time	630dE	preAbx	no
015-1D0	NA	15	1	0	cipro	10mg/kg	on-time	630dE	other	no
015-1D1	0	15	1	1	cipro	10mg/kg	on-time	630dE	other	no
015-1D10	0	15	1	10	cipro	10mg/kg	on-time	630dE	other	no
015-1D2	0	15	1	2	cipro	10mg/kg	on-time	630dE	other	no
015-1D3	0	15	1	3	cipro	10mg/kg	on-time	630dE	other	no
015-1D4	0	15	1	4	cipro	10mg/kg	on-time	630dE	other	no
015-1D6	0	15	1	6	cipro	10mg/kg	on-time	630dE	other	no
015-1D7	0	15	1	7	cipro	10mg/kg	on-time	630dE	other	no
015-1D8	0	15	1	8	cipro	10mg/kg	on-time	630dE	other	no
015-1D9	0	15	1	9	cipro	10mg/kg	on-time	630dE	other	no
015-2D-1	0	15	2	-1	cipro	10mg/kg	on-time	630dE	preAbx	no
015-2D0	NA	15	2	0	cipro	10mg/kg	on-time	630dE	other	no
015-2D1	0	15	2	1	cipro	10mg/kg	on-time	630dE	other	no
015-2D10	0	15	2	10	cipro	10mg/kg	on-time	630dE	other	no
015-2D2	0	15	2	2	cipro	10mg/kg	on-time	630dE	other	no
015-2D3	0	15	2	3	cipro	10mg/kg	on-time	630dE	other	no
015-2D4	0	15	2	4	cipro	10mg/kg	on-time	630dE	other	no
015-2D5	0	15	2	5	cipro	10mg/kg	on-time	630dE	other	no
015-2D6	0	15	2	6	cipro	10mg/kg	on-time	630dE	other	no
015-2D7	0	15	2	7	cipro	10mg/kg	on-time	630dE	other	no
015-2D8	0	15	2	8	cipro	10mg/kg	on-time	630dE	other	no
015-2D9	0	15	2	9	cipro	10mg/kg	on-time	630dE	other	no
015-3D-1	0	15	3	-1	cipro	10mg/kg	on-time	630dE	preAbx	no
015-3D0	NA	15	3	0	cipro	10mg/kg	on-time	630dE	other	no
